,经度,纬度,业务时间,卡片记录编码,线路名称,车牌号,flag
0,114.02100300000001,22.531967,2014/6/9 7:34,320830455,68路,粤BL7071,0
1,114.02100300000001,22.531967,2014/6/9 7:34,297671449,68路,粤BL7071,0
2,114.02100300000001,22.531967,2014/6/9 7:34,329849352,68路,粤BL7071,0
3,113.940399,22.54915,2014/6/9 7:29,296173669,68路,粤BL7115,1
4,113.940399,22.54915,2014/6/9 7:29,285082248,68路,粤BL7115,1
5,114.03898600000001,22.641265,2014/6/9 8:45,360732274,68路,粤BL7187,2
6,114.06542900000001,22.551076000000002,2014/6/9 9:01,328706579,68路,粤BL7300,3
7,114.03469,22.525232,2014/6/9 9:38,324698219,68路,粤BL7300,4
8,114.03469,22.525232,2014/6/9 9:38,23226777,68路,粤BL7300,4
9,114.04706499999999,22.518667,2014/6/9 11:25,327543149,68路,粤BL7300,5
10,114.035072,22.6231,2014/6/9 12:05,251385411,68路,粤BL7300,6
11,114.035072,22.6231,2014/6/9 12:05,293641560,68路,粤BL7300,6
12,114.03406499999998,22.642652,2014/6/9 12:15,251377066,68路,粤BL7300,2
13,114.03406499999998,22.642652,2014/6/9 12:15,20705404,68路,粤BL7300,2
14,114.062446,22.63965,2014/6/9 12:27,330244602,68路,粤BL7300,7
15,114.047119,22.518867,2014/6/9 6:54,327235486,68路,粤BL7302,5
16,114.047119,22.518867,2014/6/9 6:54,326548574,68路,粤BL7302,5
17,114.047119,22.518867,2014/6/9 6:54,322931121,68路,粤BL7302,5
18,114.047119,22.518867,2014/6/9 6:54,330038615,68路,粤BL7302,5
19,113.94062,22.560032999999997,2014/6/9 8:07,323503136,68路,粤BL7302,8
20,114.06421599999999,22.537551,2014/6/9 9:08,360963590,68路,粤BL7302,9
21,114.04681299999999,22.595198999999997,2014/6/9 9:42,324734088,68路,粤BL7302,10
22,114.04681299999999,22.595198999999997,2014/6/9 9:42,320770480,68路,粤BL7302,10
23,114.04681299999999,22.595198999999997,2014/6/9 9:42,321652611,68路,粤BL7302,10
24,114.03984799999999,22.608016,2014/6/9 9:46,293800076,68路,粤BL7302,11
25,114.03984799999999,22.608016,2014/6/9 9:46,294434052,68路,粤BL7302,11
26,114.03984799999999,22.608016,2014/6/9 9:46,360390347,68路,粤BL7302,11
27,114.03984799999999,22.608016,2014/6/9 9:46,291141284,68路,粤BL7302,11
28,114.06433799999999,22.656986,2014/6/9 10:16,293452445,68路,粤BL7302,12
29,114.061668,22.652555,2014/6/9 7:29,180026538,68路,粤BL7316,13
30,114.041473,22.640039,2014/6/9 7:46,290632122,68路,粤BL7316,2
31,114.041473,22.640039,2014/6/9 7:46,292887064,68路,粤BL7316,2
32,114.041473,22.640039,2014/6/9 7:46,293038807,68路,粤BL7316,2
33,114.041473,22.640039,2014/6/9 7:46,294138687,68路,粤BL7316,2
34,114.03910800000001,22.641319,2014/6/9 7:47,291394401,68路,粤BL7316,2
35,114.03910800000001,22.641319,2014/6/9 7:47,324723295,68路,粤BL7316,2
36,114.03910800000001,22.641319,2014/6/9 7:47,325878773,68路,粤BL7316,2
37,114.03910800000001,22.641319,2014/6/9 7:47,325691138,68路,粤BL7316,2
38,114.03910800000001,22.641319,2014/6/9 7:47,326392621,68路,粤BL7316,2
39,114.03910800000001,22.641319,2014/6/9 7:47,329658150,68路,粤BL7316,2
40,114.03910800000001,22.641319,2014/6/9 7:47,292894768,68路,粤BL7316,2
41,114.03910800000001,22.641319,2014/6/9 7:47,291685116,68路,粤BL7316,2
42,114.03910800000001,22.641319,2014/6/9 7:47,294527275,68路,粤BL7316,2
43,114.03910800000001,22.641319,2014/6/9 7:47,321154064,68路,粤BL7316,2
44,114.034912,22.642595,2014/6/9 7:49,293914607,68路,粤BL7316,2
45,114.034912,22.642595,2014/6/9 7:49,323248397,68路,粤BL7316,2
46,114.034912,22.642595,2014/6/9 7:49,321959183,68路,粤BL7316,2
47,114.034912,22.642595,2014/6/9 7:49,23151422,68路,粤BL7316,2
48,114.034912,22.642595,2014/6/9 7:49,324351254,68路,粤BL7316,2
49,114.034912,22.642595,2014/6/9 7:49,325745030,68路,粤BL7316,2
50,114.034912,22.642595,2014/6/9 7:49,327536226,68路,粤BL7316,2
51,114.034912,22.642595,2014/6/9 7:49,328779232,68路,粤BL7316,2
52,114.034912,22.642595,2014/6/9 7:49,364056969,68路,粤BL7316,2
53,114.03168400000001,22.637451000000002,2014/6/9 7:51,280372336,68路,粤BL7316,2
54,114.03168400000001,22.637451000000002,2014/6/9 7:51,292543135,68路,粤BL7316,2
55,114.03168400000001,22.637451000000002,2014/6/9 7:51,21025506,68路,粤BL7316,2
56,114.03168400000001,22.637451000000002,2014/6/9 7:51,20592495,68路,粤BL7316,2
57,114.03168400000001,22.637451000000002,2014/6/9 7:51,23581251,68路,粤BL7316,2
58,114.03168400000001,22.637451000000002,2014/6/9 7:51,325768598,68路,粤BL7316,2
59,114.03168400000001,22.637451000000002,2014/6/9 7:51,326959928,68路,粤BL7316,2
60,114.03168400000001,22.637451000000002,2014/6/9 7:51,328164759,68路,粤BL7316,2
61,114.04656899999999,22.518995,2014/6/9 9:02,290703701,68路,粤BL7316,5
62,114.04656899999999,22.518995,2014/6/9 9:02,290458994,68路,粤BL7316,5
63,114.04656899999999,22.518995,2014/6/9 9:02,20674536,68路,粤BL7316,5
64,113.94825700000001,22.530096,2014/6/9 10:42,293122627,68路,粤BL7316,14
65,113.94825700000001,22.530096,2014/6/9 10:42,291146968,68路,粤BL7316,14
66,114.029754,22.527545,2014/6/9 10:53,322278410,68路,粤BL7316,15
67,114.036056,22.524547000000002,2014/6/9 10:55,329735636,68路,粤BL7316,4
68,114.038627,22.523084,2014/6/9 10:56,293001487,68路,粤BL7316,4
69,114.06641299999998,22.659549,2014/6/9 6:02,360972027,68路,粤BL7336,12
70,114.034553,22.624416,2014/6/9 6:22,323654111,68路,粤BL7336,6
73,114.035453,22.524816,2014/6/9 8:26,329645057,68路,粤BL7368,4
74,113.99686399999999,22.529382000000002,2014/6/9 8:44,327451531,68路,粤BL7368,16
75,113.99686399999999,22.529382000000002,2014/6/9 8:44,291270262,68路,粤BL7368,16
76,113.99686399999999,22.529382000000002,2014/6/9 8:44,294563892,68路,粤BL7368,16
77,113.99686399999999,22.529382000000002,2014/6/9 8:44,20817241,68路,粤BL7368,16
78,113.99686399999999,22.529382000000002,2014/6/9 8:44,80002928,68路,粤BL7368,16
